"variable","tipo_R","n_na_real","n_na_texto","n_blancos","n_con_espacios","n_presentes","n_no_numericos","n_notacion_cientifica","n_con_decimales","n_valores_unicos","minimo","maximo","ejemplo_no_numerico","ejemplo_cientifica"
"p7472s1","character",0,23545,0,0,8632,0,60,0,52,0,5e+06,"","1e+06"
"p7495","character",0,4888,0,0,27289,0,0,0,2,1,2,"",""
"p7500s1","character",0,28315,0,0,3862,0,0,0,3,1,9,"",""
"p7500s1a1","character",0,4888,0,0,27289,0,1089,0,138,0,2e+07,"","5e+05"
"p7500s2","character",0,28315,0,0,3862,0,0,0,3,1,9,"",""
"p7500s2a1","character",0,4888,0,0,27289,0,381,0,267,0,8e+07,"","1e+06"
"p7500s3","character",0,28315,0,0,3862,0,0,0,3,1,9,"",""
"p7500s3a1","character",0,4888,0,0,27289,0,190,0,66,0,7200000,"","1e+05"
"p7505","character",0,4888,0,0,27289,0,0,0,2,1,2,"",""
"p7510s1","character",0,24342,0,0,7835,0,0,0,3,1,9,"",""
"p7510s1a1","character",0,4888,0,0,27289,0,545,0,147,0,1.2e+08,"","4e+05"
"p7510s2","character",0,24342,0,0,7835,0,0,0,3,1,9,"",""
"p7510s2a1","character",0,4888,0,0,27289,0,83,0,49,0,9.6e+07,"","2e+06"
"p7510s3","character",0,24342,0,0,7835,0,0,0,3,1,9,"",""
"p7510s3a1","character",0,4888,0,0,27289,0,60,0,113,0,3e+07,"","2e+05"
"p7510s5","character",0,24342,0,0,7835,0,0,0,3,1,9,"",""
"p7510s5a1","character",0,4888,0,0,27289,0,100,0,64,0,4e+08,"","2e+05"
"p7510s6","character",0,24342,0,0,7835,0,0,0,3,1,9,"",""
"p7510s6a1","character",0,4888,0,0,27289,0,725,0,303,0,7.5e+07,"","6e+05"
"p7510s7","character",0,24342,0,0,7835,0,0,0,3,1,9,"",""
"p7510s7a1","character",0,4888,0,0,27289,0,796,0,253,0,2.2e+08,"","9e+05"
"pet","character",0,4888,0,0,27289,0,0,0,1,1,1,"",""
"ina","character",0,23545,0,0,8632,0,0,0,1,1,1,"",""
"impa","character",0,15767,0,0,16410,0,4489,3875,3710,0,5e+07,"","7e+05"
"isa","character",0,15527,0,0,16650,0,240,0,90,0,1e+07,"","6e+05"
"ie","character",0,21549,0,0,10628,0,483,0,183,0,6300000,"","3e+05"
"imdi","character",0,31752,0,0,425,0,188,0,105,0,1.4e+07,"","1e+06"
"iof1","character",0,4888,0,0,27289,0,16,103,64,0,33333333.3333333,"","5e+06"
"iof2","character",0,4888,0,0,27289,0,380,0,266,0,2.4e+07,"","1e+06"
"iof3h","character",0,4888,0,0,27289,0,533,467,191,0,1e+07,"","3e+05"
"iof3i","character",0,4888,0,0,27289,0,30,74,97,0,6e+05,"","6e+05"
"iof6","character",0,4888,0,0,27289,0,1089,0,138,0,2e+07,"","5e+05"
"cclasnr2","character",0,30718,0,0,1459,0,0,0,1,1,1,"",""
"cclasnr3","character",0,32111,0,0,66,0,0,0,1,1,1,"",""
"cclasnr4","character",0,31903,0,0,274,0,0,0,1,1,1,"",""
"cclasnr5","character",0,32141,0,0,36,0,0,0,1,1,1,"",""
"cclasnr6","character",0,31924,0,0,253,0,0,0,1,1,1,"",""
"cclasnr7","character",0,31891,0,0,286,0,0,0,1,1,1,"",""
"cclasnr8","character",0,31844,0,0,333,0,0,0,1,1,1,"",""
"cclasnr11","character",0,31998,0,0,179,0,0,0,1,1,1,"",""
"impaes","character",0,30694,0,0,1483,0,550,0,549,15000,5e+07,"","9e+05"
"isaes","character",0,32111,0,0,66,0,31,0,36,6000,8e+06,"","2e+06"
