paso,movimiento,grupos,n_columnas,RMSE_LOOCV
0,inicio,age|anios_educ|antiguedad_anios|cotiza_pension|cuentaPropia|educ_f|estrato_f|female|formal|horas_segundo_empleo|hoursWorkUsual|jefe_hogar|microEmpresa|oficio_f|oficio_grupo|parentesco_f|quiere_mas_horas|regSalud_f|relab_f|segundo_empleo|sizeFirm_f|terciaria|totalHoursWorked,347,0.5055588021561159
1,retirar segundo_empleo,age|anios_educ|antiguedad_anios|cotiza_pension|cuentaPropia|educ_f|estrato_f|female|formal|horas_segundo_empleo|hoursWorkUsual|jefe_hogar|microEmpresa|oficio_f|oficio_grupo|parentesco_f|quiere_mas_horas|regSalud_f|relab_f|sizeFirm_f|terciaria|totalHoursWorked,346,0.5054934760887531
2,retirar terciaria,age|anios_educ|antiguedad_anios|cotiza_pension|cuentaPropia|educ_f|estrato_f|female|formal|horas_segundo_empleo|hoursWorkUsual|jefe_hogar|microEmpresa|oficio_f|oficio_grupo|parentesco_f|quiere_mas_horas|regSalud_f|relab_f|sizeFirm_f|totalHoursWorked,340,0.505457628452106
3,retirar horas_segundo_empleo,age|anios_educ|antiguedad_anios|cotiza_pension|cuentaPropia|educ_f|estrato_f|female|formal|hoursWorkUsual|jefe_hogar|microEmpresa|oficio_f|oficio_grupo|parentesco_f|quiere_mas_horas|regSalud_f|relab_f|sizeFirm_f|totalHoursWorked,339,0.5054438515042132
4,retirar hoursWorkUsual,age|anios_educ|antiguedad_anios|cotiza_pension|cuentaPropia|educ_f|estrato_f|female|formal|jefe_hogar|microEmpresa|oficio_f|oficio_grupo|parentesco_f|quiere_mas_horas|regSalud_f|relab_f|sizeFirm_f|totalHoursWorked,338,0.505400431418919
