pliegue,lambda_ridge,RMSE
1,177.82794100389228,0.5102671749020175
2,177.82794100389228,0.5126440178022957
3,100.0,0.6719370640587102
4,100.0,0.5374510435980028
5,177.82794100389228,0.49934265361159424
