id_persona,log_y,pred_loo,pred_cv5
4514331-1-1,14.298450926826844,14.296723139055599,14.232033153272674
4514333-1-1,14.136849849119868,14.069128864236555,14.072160580395858
4514334-1-1,13.691484701388214,13.70940171446734,13.7245100431084
4514335-1-1,13.458835614025542,13.457459527304126,13.486538398632858
4514338-1-2,14.478971492537068,14.678503191194032,14.669626399877268
4514339-1-1,13.895245525983128,14.04758062122321,13.968284293615516
4514339-1-2,14.29567079319789,14.672246586281487,14.708819695190417
4514342-1-2,13.815510557964274,13.142969674468164,13.136727575930635
4514343-1-1,13.565766324852886,13.772960593176098,13.75355061812323
4514344-1-2,12.611537753638338,13.011892086288569,13.030572032640096
4514348-1-1,13.618104195431933,13.825798023547263,13.818705541448555
4514349-1-3,13.6903253105993,14.035933861565345,14.046205287156566
4514349-1-2,13.764013756028362,13.779544054419095,13.811763387803818
4514350-1-1,13.304684934198283,13.384156050486688,13.374834266927873
4514350-1-2,13.764013756028362,14.021625773764475,14.018886833183622
4514351-1-1,14.22097566607244,13.20343541820689,13.216662535151768
4514352-1-2,12.611537753638338,12.436494811209291,12.51411579685554
4514353-1-1,11.002099841204238,13.225336236010044,13.269232062259436
4514354-1-2,14.280187525704283,13.991600510375534,14.040287667470064
4514354-1-1,13.587208332918618,14.002764834163738,13.978080537687271
4514357-1-1,13.895553304099348,13.807802564643373,13.805196884010916
4514359-1-1,15.105661035595482,14.554699313647744,14.593935396379775
4514360-1-2,14.077874822431763,13.985316058468397,13.986074825174203
4514360-1-1,14.322211662583271,14.146560712598575,14.232071122667422
4514361-1-2,13.625419320220956,13.651683603790971,13.635317957308148
4514361-1-3,13.624108346539137,13.994216965434203,13.988784878875002
4514363-2-1,13.721566226214676,13.94869550316015,13.93325113068284
4514364-1-2,13.898932166103346,13.63171128528579,13.642775428863157
4514364-1-1,14.22097566607244,13.891169487679015,13.91712207493593
4514364-1-3,13.574712071411344,13.885215564442191,13.868480191704782
4514365-1-1,14.064820756896454,14.033256200040157,14.040056453168015
4514366-1-1,12.206072645530174,11.666473703422755,11.645580187298842
4514367-1-1,13.652991628466498,13.631430884207637,13.658467168733337
4514368-1-2,14.103047619902538,13.939327757002284,13.96052023163112
4514369-1-3,14.930652148583594,14.192565660407606,14.237090319130326
4514369-1-1,14.641146885073947,14.786023742526316,14.82025132142664
4514369-1-2,14.403297222866392,13.832554600620874,13.793056508984526
4514370-2-2,12.765688433465597,12.457083708036372,12.355765113094316
4514371-1-1,13.618104195431933,13.662022381407473,13.65078472744221
4514372-1-1,13.122363377404328,13.344159789146934,13.310484508252983
4514374-1-2,14.229697519884308,13.981998701296813,14.00183631787645
4514374-1-1,13.6903253105993,13.976758343151758,13.971557120592886
4514375-1-1,14.058456736574664,13.894457781318346,13.886459638782169
4514375-1-2,14.301018373745976,13.977380342952953,14.004644706021237
4514376-1-1,13.618104195431933,13.783677456605226,13.774915186681298
4514377-1-1,13.618104195431933,13.791175623946975,13.755360622141426
4514378-1-1,13.997832114758229,13.499636906237654,13.515765015105798
4514379-1-1,14.34209535113995,13.833572184066913,13.823032195482106
4514380-1-2,14.962913010801817,14.822234034938635,14.822577236604872
4514380-1-1,14.888805038648094,15.134788307695084,15.097889407940746
4514381-1-1,13.511315561204944,13.540941344867884,13.596081987993019
4514382-1-2,13.815510557964274,13.426199488274158,13.428677653226636
4514382-1-1,11.289781913656018,12.405098877205775,12.381231931426127
4514383-1-3,13.122363377404328,13.688844913946122,13.651514721778577
4514384-1-3,12.100712129872347,11.313357408945045,11.28243378311354
4514384-1-8,13.69054090878914,13.862625053873868,13.86933413424314
4514384-1-6,13.899060952658209,13.798418088268978,13.789965041158474
4514387-1-1,15.60727002719233,14.309883174147876,14.258798088234263
4514387-1-3,13.516394448678438,13.272370680470168,13.273019943665574
4514387-2-1,13.815510557964274,14.266641422699406,14.203687139185298
4514388-1-2,13.748480067782722,14.013120558776016,14.022386224765125
4514388-1-1,13.754875541562566,14.156521572785373,14.149532947997722
4514390-1-1,16.010185665941343,15.767181538932967,15.68664600329491
4514390-1-2,15.610320951718744,15.465675270053923,15.487651554381996
4514390-1-4,14.194955645782825,14.770482848455016,14.75776844861978
4514391-1-1,13.795307850646754,13.857938612597879,13.840322714716951
4514391-1-2,14.588700484659292,14.765356832444464,14.794477058561494
4514395-1-3,13.728499203701915,13.900150233131827,13.887854725203832
4514395-1-1,13.69825400868961,14.411868086218487,14.4140605091397
4514395-1-4,13.823809340117812,13.83152302109049,13.821283779253376
4514397-1-2,13.511315561204944,14.075933232637324,14.12712864610513
4514397-1-1,15.50499114730268,15.191975449088945,15.159732858886503
4514398-1-3,13.38472764187182,14.181595991684066,14.225876569729367
