modelo,beta_Female,brecha_porcentual,EE_analitico_HC1,EE_bootstrap,IC_percentil_inf,IC_percentil_sup,R2_ponderado,rango,n,diferencia_FWL,personas_representadas
S0,-0.24045362990034547,-21.37288959277335,0.015197624889245904,0.015927484191704276,-0.2692241799898988,-0.20957640321099497,0.017981378900128298,2,14763,2.7755575615628914e-16,3686405.742291939
S1,-0.26034349278215424,-22.921321936888948,0.014713696676409194,0.015391927391889347,-0.28939198856455095,-0.2305630780828805,0.07327192409945082,4,14763,1.9984014443252818e-15,3686405.742291939
S2,-0.3219965341973883,-27.529929800486393,0.01320614405488535,0.01360751333437293,-0.34769667330526816,-0.29454749174468803,0.26676798397855706,9,14763,5.88418203051333e-15,3686405.742291939
S3,-0.21192114683501426,-19.09715104916701,0.011929198378213322,0.012463643943396663,-0.23398755992404308,-0.1850042938127105,0.4097807632985352,11,14763,2.914335439641036e-15,3686405.742291939
S4,-0.19890614105936386,-18.037318097226205,0.011312179303015923,0.011859970831253237,-0.2199019027453503,-0.1736087077997599,0.503282870232235,21,14763,7.216449660063518e-15,3686405.742291939
S5,-0.18334643534384884,-16.752029461770434,0.011460835893211336,0.011614148559610538,-0.20507097895978182,-0.16006248845907978,0.5527186436774558,27,14763,6.5503158452884236e-15,3686405.742291939
S6,-0.16515602436226484,-15.223857766667631,0.01255127792251599,0.012908620964250326,-0.1902313940543179,-0.14078524203012285,0.5834283066374976,77,14763,2.248201624865942e-15,3686405.742291939
S7,-0.13171921445899729,-12.341290649139706,0.011747437581777778,0.011959140849152521,-0.1547874762008837,-0.10838357787756542,0.6318712415797351,83,14763,1.8596235662471372e-15,3686405.742291939
