female,age,media,sd,ee,n,poblacion,n_efectivo,IC_inf,IC_sup
0,18,13.223138261168268,0.670900346172101,0.08697060872942777,78,19685.47218785686,72.42595206675894,13.05267586805859,13.393600654277947
0,19,13.30110378739113,0.7510038935013601,0.06752661069570828,128,30697.199760720017,122.67644531137466,13.168751630427542,13.433455944354717
0,20,13.439277635026329,0.685829120450601,0.057177385571622406,144,35049.171114600314,134.869180703259,13.327209959305948,13.55134531074671
0,21,13.61443262504024,0.5709542380155113,0.04234170089639974,178,42223.49269207312,170.63107715982935,13.531442891283298,13.697422358797184
0,22,13.679491637196087,0.6203759367638416,0.04543719706363726,195,46464.54850642831,186.5241534407125,13.590434730951358,13.768548543440815
0,23,13.774123523657924,0.5693313361545317,0.04064287780915227,209,51242.18887431279,192.91710003521746,13.694463483151985,13.853783564163862
0,24,13.862849299820763,0.5188406489439361,0.03591313313348744,249,61138.97434641713,234.8832877251585,13.792459558879127,13.933239040762398
0,25,13.911929885335683,0.6250724540880874,0.0399569279994197,254,64548.16822642736,241.59071379661304,13.83361430645682,13.990245464214546
0,26,13.983475410114467,0.538757357004984,0.0351339583250822,242,62143.05961309444,230.2629046232503,13.914612851797306,14.052337968431628
0,27,13.93033330619163,0.6040491068102406,0.03898804133342884,235,60154.089731881526,221.23632379307892,13.85391674517811,14.00674986720515
0,28,14.071053460353397,0.6511273965942483,0.04356213395920339,232,60119.511696985435,218.56815548232927,13.98567167779336,14.156435242913435
0,29,13.977592294910153,0.5979288448822686,0.038620488559027166,244,64868.140753256834,227.47801477398477,13.90189613733446,14.053288452485846
0,30,14.007821306671515,0.6140941117168157,0.04070572813762935,231,59198.061812966334,220.77550903991414,13.92803807952176,14.087604533821269
0,31,14.080661270591209,0.6351102134787638,0.04372605350287948,216,56707.8593582129,207.98411660433993,13.994958205725565,14.166364335456853
0,32,14.145067982539109,0.6931813626862154,0.04995908020900403,219,56286.30342909289,211.27779501853647,14.04714818532946,14.242987779748757
0,33,14.041709313171076,0.6419573464560867,0.04661490590020202,190,52305.10485700816,175.41822660151794,13.95034409760668,14.133074528735472
0,34,14.028199558306422,0.6814799519784956,0.0480636377905229,206,55026.705547587255,190.8256577321238,13.933994828236997,14.122404288375847
0,35,14.182895541537857,0.7627982322466385,0.05375911155107793,203,51210.33725707867,194.69956973298764,14.077527682897744,14.28826340017797
0,36,14.126409305486355,0.7194884284908333,0.05146274092504297,195,50947.41853971284,184.5041561357242,14.02554233327327,14.22727627769944
0,37,14.213396992909967,0.841752200482931,0.07231034583298127,174,46355.06591724137,160.2567063721502,14.071668715077324,14.35512527074261
0,38,14.121351709016661,0.6897272544755108,0.05356877506129846,178,47572.272763010726,168.18820175842893,14.016356909896516,14.226346508136807
0,39,14.288588739032145,0.8238764094221979,0.06771704682187873,180,47347.741948234274,169.47867708826925,14.155863327261262,14.421314150803028
0,40,14.21208038828754,0.7774610601850905,0.06165891004643881,172,44486.49025851411,162.41770781659412,14.09122892459652,14.33293185197856
0,41,14.23862230998431,0.8629905069031641,0.07122098400973607,157,40102.16512814129,148.49735967398917,14.099029181325227,14.378215438643393
0,42,14.296190131963343,0.862836657999003,0.08022034599930866,125,32581.07034976287,118.40121959933806,14.138958253804697,14.453422010121988
0,43,14.134639969831824,0.8740864135444559,0.07651652142125166,148,37773.431815356176,138.6654335002787,13.98466758784617,14.284612351817477
0,44,14.204334846600943,0.8871778634668708,0.07136206909896699,162,39753.3089330083,156.13392031144906,14.064465191166969,14.344204502034918
0,45,14.1993012219378,0.7723073032603315,0.06270385070971435,151,38312.50072374838,143.28645475587584,14.07640167454676,14.32220076932884
0,46,14.06198322469753,0.815037713330992,0.07259463809190644,139,33841.0617177931,133.84640059233564,13.919697734037394,14.204268715357665
0,47,14.158332927348715,0.771343992207407,0.06695528761766907,139,33624.748527494,134.5156955059305,14.027100563618083,14.289565291079347
0,48,14.144310871421796,0.8119073491479077,0.07033179002077942,145,36292.635615982945,136.60192217320161,14.006460562981069,14.282161179862523
0,49,14.044876939345713,0.7616499097923757,0.06466880587501754,141,33884.21172733203,134.76097740612767,13.918126079830678,14.171627798860747
0,50,14.010764531268409,0.7613955932244357,0.06424411973119433,145,34674.74882960772,138.7683849588383,13.884846056595268,14.13668300594155
0,51,14.082606602759892,0.8818836988637501,0.07356004832976118,141,34160.62856849175,132.84862616747483,13.93842890803356,14.226784297486224
0,52,13.819989252641571,0.7631328086254037,0.06582433597332395,141,33749.499128960466,135.41284845272475,13.690973554133857,13.949004951149286
0,53,13.9728253175622,0.715962958372245,0.07099038905976186,120,28044.224706217872,114.33443108402889,13.833684155005068,14.111966480119333
0,54,14.028280372159204,1.1338849424292456,0.0980957783594834,138,34309.83070912146,129.07683020514605,13.836012646574616,14.22054809774379
0,55,14.043598306197673,0.9393534160300737,0.08750508090057563,127,30329.357095041843,120.71909772143312,13.872088347632545,14.2151082647628
0,56,14.242678301663862,0.9561307041327642,0.09467627079551423,120,30308.781910376067,113.35258056320991,14.057112810904654,14.42824379242307
0,57,13.959507270783638,0.7991917041885742,0.08057245336487619,95,23008.076158710955,92.3273072221221,13.80158526218848,14.117429279378795
0,58,14.018560370124415,0.8972358141580785,0.08162948378296231,121,29957.36325547583,112.98174173633114,13.858566581909809,14.178554158339022
