sexo,n,poblacion_representada,age,anios_educ,totalHoursWorked,terciaria,formal
Hombres,7774,1957870.0974017638,38.812540273198685,11.08983684842024,50.46902895736839,0.36967795595338293,0.6022056408285698
Mujeres,6989,1728535.6448901752,38.53624093529069,11.653562183797046,44.75454601899024,0.45083001613250456,0.6016595294823764
