modelo,sexo,pico,media_bootstrap,EE_delta,IC_delta_inf,IC_delta_sup,IC_percentil_inf,IC_percentil_sup,replicas_sin_maximo,n_ajuste,personas_ajuste,n_sexo,personas_sexo
S1,Hombres,43.53288508827005,43.56829879664768,0.40356589212364213,42.74189593970771,44.32387423683239,42.7647578642505,44.38802367137446,0,14763,3686405.742291939,7774,1957870.0974017638
S1,Mujeres,37.73078895559978,37.73541892725859,0.39767638613493655,36.9513432387753,38.510234672424254,36.93830339833189,38.479885961784944,0,14763,3686405.742291939,6989,1728535.6448901752
S5,Hombres,49.86855957469639,49.98112149330514,0.9542578821424528,47.99821412569718,51.7389050236956,48.26666002029898,52.03301773016586,0,14763,3686405.742291939,7774,1957870.0974017638
S5,Mujeres,46.049039376261995,46.11179539978457,0.8845332194999888,44.315354266042014,47.782724486481975,44.551656275831256,48.015051390910216,0,14763,3686405.742291939,6989,1728535.6448901752
