age,female,terciaria,ingreso_mensual
42,0,0.0,3000000.0000000023
84,0,1.0,6000000.000000005
33,0,0.0,3000000.0000000023
58,1,0.0,39999.99999999997
70,0,0.0,30000.000000000007
78,0,1.0,15000000.0
61,0,1.0,15000000.0
24,0,1.0,200000.00000000006
56,0,1.0,14366667.0
65,0,1.0,100000.00000000001
