age,media,sd,ee,n,poblacion,n_efectivo,IC_inf,IC_sup
18,13.12502005122546,0.826197981056388,0.07539213225416551,132,32156.890258192783,123.14751248919548,12.977251472007296,13.272788630443625
19,13.244413626789111,0.8365137604902566,0.056770466568954445,234,55620.555627965354,221.29711668069177,13.13314351231396,13.355683741264261
20,13.445430876968642,0.6359362872123334,0.03793871046237954,291,68128.56551858617,271.5600418980103,13.371071004462378,13.519790749474906
21,13.575318074046029,0.6225694360729949,0.03575758934515235,315,73112.31729870777,301.59408205953395,13.505233198929531,13.645402949162527
22,13.654346296597085,0.6631510180868381,0.03733158032917078,343,82939.3597756543,320.0222569449512,13.58117639915191,13.72751619404226
23,13.741536236250932,0.5856825972064014,0.02932764529052633,406,98186.90581975982,377.37901035366434,13.6840540514815,13.799018421020364
24,13.807898989365647,0.630838621099128,0.0311595879176991,459,112467.52996808446,427.9372235978732,13.746826197046957,13.868971781684337
25,13.868519405130483,0.6587400416200394,0.03136333521443676,465,117847.72944495482,441.3370789277085,13.807047268110187,13.929991542150779
26,13.90089754091655,0.7186884301784963,0.034228813017933866,450,116070.67618173196,424.84013012592743,13.833809067401399,13.9679860144317
27,13.884447162462806,0.7005911019567085,0.033478530392050725,447,114922.50580900922,420.052871144853,13.818829242894386,13.950065082031225
28,13.9695292038988,0.7613927103138661,0.03747059931686098,442,114343.42723035291,418.97708845306096,13.896086829237753,14.042971578559847
29,13.920425351167001,0.7265722047180591,0.03424433876316612,462,121700.38649266242,435.8929039916722,13.853306447191196,13.987544255142806
30,14.018057216656755,0.7690478086687791,0.03944775315318348,405,105030.59992376089,383.77506090525293,13.940739620476515,14.095374812836996
31,14.011796359149544,0.763976561447258,0.038982973934021316,386,101496.04219322404,370.00987778197515,13.935389730238862,14.088202988060226
32,14.050648540196592,0.7967097278031539,0.04052138373663133,419,110122.75222949937,400.4056885458746,13.971226628072795,14.130070452320389
33,13.995022819153826,0.7995579548464442,0.04114521772669972,391,104628.92736098995,365.3902271683353,13.914378192409496,14.075667445898157
34,14.023088455448368,0.7473113042136402,0.037848656311165706,396,105453.53115561046,368.8505576960074,13.948905089078483,14.097271821818254
35,14.039565054768238,0.76652754178699,0.04000730976676241,398,102280.55731578538,378.9198679200096,13.961150727625384,14.117979381911091
36,14.070844756284204,0.8657669752956374,0.046164255319481304,383,99282.43991831124,361.4961889756339,13.98036281585802,14.161326696710388
37,14.051906004536017,0.8648317549569694,0.05014950560024164,355,94129.9892212526,326.85791454750563,13.953612973559544,14.15019903551249
38,14.056505363082461,0.8706422692267025,0.04710223812286676,369,96319.58742710468,348.20897825240496,13.964184976361643,14.14882574980328
39,14.117117398796433,0.8806470534250482,0.05210839631448811,334,87399.40974448515,313.8809365631659,14.014984942020035,14.21924985557283
40,14.14496061149884,0.923144740545254,0.05183919689045329,343,86816.70766345579,324.2401393157582,14.043355785593551,14.24656543740413
41,14.132960760798069,0.9086839419663578,0.0540002625105785,317,80840.74887712797,298.97046233793617,14.027120246277335,14.238801275318803
42,14.02501612775668,0.9805361372738997,0.058914756162249844,291,72511.35308804546,274.0665267122734,13.909543205678672,14.14048904983469
43,14.032219296438083,0.9414044707617107,0.057105067878627146,293,74031.2647254472,275.33815524258125,13.920293363395974,14.144145229480191
44,14.071910832901562,0.9228135150064717,0.05491934073137093,318,77681.74875422036,304.34589181345297,13.964268925068074,14.17955274073505
45,14.010879840169844,0.8804994346077165,0.05342579181459378,275,67996.02513941989,262.25945926568426,13.90616528821324,14.115594392126448
46,13.938041912379452,0.8714244920179258,0.05537330620084216,272,65720.22892270106,258.0725242262824,13.829510232225802,14.046573592533102
47,13.956743244350298,0.8849318840077208,0.05356856871852671,286,67589.57310167694,274.48812788477574,13.851748849661986,14.06173763903861
48,13.912024791990516,0.8536562449993603,0.0512133977630182,290,69317.25427398938,274.6161126897654,13.811646532375,14.012403051606032
49,13.895541886601881,0.8794543096419581,0.05281093888489041,281,66092.08826407933,270.8693323311416,13.792032446387497,13.999051326816266
50,13.947446221819881,0.8427098760473655,0.05121505506241724,273,64517.7191357566,262.19811544656926,13.847064713897543,14.047827729742218
51,13.889947758512129,1.0804218432085162,0.06690619745642369,263,61912.656028455414,249.49617960241602,13.758811611497539,14.02108390552672
52,13.74849440586267,0.9224508106273555,0.0579275813169735,262,62371.73841580796,252.47072894822747,13.634956346481403,13.862032465243939
