modelo,pico,EE_delta,IC_delta_inf,IC_delta_sup,IC_percentil_inf,IC_percentil_sup,EE_bootstrap,sesgo_bootstrap,replicas_sin_maximo,R2_ponderado,RMSE_ponderado,n,personas_representadas
Incondicional,40.724478111867406,0.27793127301292286,40.179732816762076,41.269223406972735,40.19055342212197,41.27490046925099,0.2723593028735297,0.0047860169682465425,0,0.052229178021895195,0.8711339580638174,14764,3686675.5555864675
Condicional,43.626538007516295,0.3808386421671586,42.88009426886867,44.37298174616392,42.94488686697405,44.38483896849953,0.3774979857889114,0.017568458814587018,0,0.22716368550351695,0.78664183038154,14764,3686675.5555864675
