variable,coeficiente,EE clasico,EE HC1,t,p
const,12.288211113409407,0.06444871345504068,0.07434890629519177,165.27763118156454,0.0
age,0.08682965556708948,0.0032463852002981904,0.004011497131601637,21.64519946507396,2.6119221445579086e-102
age^2,-0.0010660622258752371,3.802223439402111e-05,4.9638755629302566e-05,-21.47640915571065,8.963842607000758e-101
