variable,coeficiente,EE clasico,EE HC1,t,p
const,11.96235656829895,0.06030312214143167,0.06947713316375624,172.17688789927342,0.0
age,0.07337335605541645,0.002960182247121045,0.003545135652525834,20.69691071007099,7.911051959413136e-94
age^2,-0.0008409257232693453,3.469935111719086e-05,4.3615189745106226e-05,-19.28057009917514,7.920669173065648e-82
totalHoursWorked,0.01274489980595893,0.0004326947494209025,0.0005691943871381623,22.391119965252436,3.144892952485792e-109
relab[Cuenta propia],-0.49222629495443765,0.01527654493501531,0.017513966352302537,-28.104787062681854,2.3840907069584936e-169
relab[Empleado del gobierno],0.7398301579505737,0.03456852954057822,0.028178951284678937,26.254708717737973,1.5901357749272733e-148
relab[Empleado domestico],-0.6972102370585034,0.034895506133199285,0.029116520552637627,-23.945520406467114,2.3931850466788367e-124
relab[Otro],-1.070489773070066,0.2746869702498061,0.22752529864335774,-4.704926350840842,2.5626161216262396e-06
relab[Patron/empleador],0.2182917024758695,0.03733780137135377,0.04691553212600895,4.652866387395259,3.301976316957854e-06
