edad,Incondicional,Incondicional_inf,Incondicional_sup,Condicional,Condicional_inf,Condicional_sup
18,13.50574075243344,13.466640055884264,13.544841448982615,13.48187294554947,13.44614099245905,13.517604898639892
19,13.553126105643146,13.517848158777936,13.588404052508357,13.524132049843923,13.491711157112498,13.556552942575347
20,13.598379334401102,13.566653026555855,13.630105642246349,13.564709302691833,13.535353197921529,13.594065407462137
21,13.641500438707306,13.61303485630061,13.669966021114002,13.603604704093208,13.577049949521962,13.630159458664453
22,13.68248941856176,13.656968785564189,13.70801005155933,13.64081825404804,13.616780893769354,13.664855614326727
23,13.721346273964464,13.69842461137466,13.744267936554268,13.676349952556338,13.654522596797111,13.698177308315564
24,13.758071004915417,13.737367857847183,13.77877415198365,13.710199799618094,13.69025035957599,13.730149239660198
25,13.792663611414621,13.773763502406132,13.811563720423111,13.742367795233315,13.723941753259174,13.760793837207457
26,13.825124093462072,13.80758357993049,13.842664606993655,13.772853939401992,13.755582295787981,13.790125583016003
27,13.855452451057776,13.838818164661534,13.872086737454017,13.801658232124135,13.785172265084801,13.818144199163468
28,13.883648684201725,13.867485652350958,13.899811716052493,13.828780673399736,13.812731944085034,13.844829402714439
29,13.909712792893927,13.89363582180781,13.925789763980044,13.8542212632288,13.838302116078701,13.870140410378898
30,13.93364477713438,13.917342326541712,13.949947227727046,13.877980001611325,13.861938778055372,13.894021225167279
31,13.955444636923078,13.938688513711739,13.972200760134417,13.900056888547313,13.883704425149368,13.916409351945259
32,13.975112372260028,13.957754064277678,13.992470680242379,13.92045192403676,13.903659730309062,13.937244117764457
33,13.992647983145226,13.97460705233032,14.01068891396013,13.939165108079669,13.921858107370813,13.956472108788525
34,14.008051469578675,13.989301441934758,14.026801497222591,13.95619644067604,13.938343451073905,13.974049430278175
35,14.021322831560374,14.001877884488819,14.04076777863193,13.97154592182587,13.953150087719806,13.989941755931934
36,14.03246206909032,14.012365808286203,14.052558329894437,13.985213551529162,13.966303815186423,14.0041232878719
37,14.041469182168518,14.020785634974565,14.06215272936247,13.997199329785918,13.977823254382807,14.016575405189029
38,14.048344170794964,14.027150638594364,14.069537702995564,14.007503256596134,13.987721107722425,14.027285405469843
39,14.05308703496966,14.031468328322761,14.07470574161656,14.016125331959811,13.99600516667717,14.036245497242453
40,14.055697774692607,14.033741385317981,14.077654164067233,14.023065555876949,14.002679036694962,14.043452075058935
41,14.056176389963802,14.033968225967943,14.078384553959662,14.028323928347548,14.007742599653522,14.048905257041575
42,14.054522880783246,14.032143263800032,14.07690249776646,14.031900449371609,14.01119224934819,14.052608649395028
43,14.050737247150941,14.028256932065894,14.073217562235989,14.033795118949131,14.013020937002128,14.054569300896134
44,14.044819489066885,14.022295522844981,14.067343455288789,14.034007937080116,14.013218063750426,14.054797810409806
45,14.03676960653108,14.014240903377422,14.059298309684737,14.032538903764559,14.0117692624087,14.053308545120418
46,14.026587599543523,14.00407019038985,14.049105008697197,14.029388019002464,14.00865612605844,14.050119911946489
47,14.014273468104212,13.991755500046049,14.036791436162376,14.024555282793832,14.003855968657318,14.045254596930347
48,13.999827212213155,13.977263940514334,14.022390483911977,14.01804069513866,13.997341741809073,14.038739648468248
49,13.983248831870347,13.960558059087862,14.00593960465283,14.009844256036951,13.98908227249214,14.030606239581761
50,13.96453832707579,13.941596960610745,13.987479693540834,13.999965965488702,13.979043005654333,14.02088892532307
51,13.94369569782948,13.92033822863963,13.967053167019328,13.988405823493915,13.967187395657728,14.009624251330102
52,13.920720944131418,13.896740570629406,13.94470131763343,13.975163830052589,13.953478955483874,13.996848704621303
53,13.895614065981608,13.870766807939914,13.920461324023302,13.960239985164725,13.937883744993774,13.982596225335675
54,13.868375063380048,13.842386577649066,13.89436354911103,13.943634288830323,13.920372839170975,13.96689573848967
55,13.839003936326733,13.811578086759011,13.866429785894455,13.925346741049378,13.900924207292594,13.949769274806162
56,13.807500684821676,13.778328534763062,13.83667283488029,13.905377341821898,13.87952356311723,13.931231120526567
57,13.773865308864861,13.742633265890765,13.805097351838958,13.88372609114788,13.856164076884841,13.911288105410918
58,13.738097808456299,13.704494078371482,13.771701538541116,13.86039298902732,13.830845193129793,13.889940784924846
59,13.700198183595987,13.663917238829299,13.736479128362674,13.835378035460222,13.803570993669172,13.867185077251271
60,13.66016643428392,13.62091164320891,13.699421225358929,13.808681230446586,13.774348531683161,13.843013929210011
61,13.618002560520106,13.575487361666344,13.660517759373867,13.780302573986413,13.743186417220477,13.81741873075235
62,13.573706562304542,13.527654623079883,13.619758501529201,13.750242066079698,13.710093767052596,13.7903903651068
63,13.527278439637227,13.477423185859596,13.577133693414858,13.71849970672645,13.675079511058684,13.761919902394215
64,13.478718192518162,13.424802000517591,13.532634384518733,13.68507549592666,13.638151987662978,13.73199900419034
65,13.428025820947344,13.369799070008646,13.486252571886041,13.649969433680328,13.599318746544842,13.700620120815813
66,13.375201324924777,13.312421432283122,13.437981217566433,13.613181519987462,13.55858648636477,13.667776553610153
67,13.320244704450461,13.252675211257648,13.387814197643275,13.574711754848055,13.515961072795019,13.633462436901091
68,13.263155959524395,13.190565701021743,13.335746218027047,13.53456013826211,13.471447599319408,13.597672677204812
69,13.203935090146578,13.12609746183927,13.281772718453885,13.492726670229624,13.425050466908834,13.560402873550414
70,13.142582096317007,13.0592744157861,13.225889776847914,13.449211350750604,13.376773468364425,13.521649233136783
71,13.079096978035688,12.990099935751232,13.168094020320144,13.404014179825042,13.326619869507539,13.481408490142545
72,13.013479735302619,12.918576925067633,13.108382545537605,13.35713515745294,13.274592483377257,13.439677831528625
73,12.9457303681178,12.844707887055296,13.046752849180304,13.308574283634304,13.220693735953073,13.396454831315534
74,12.87584887648123,12.76849498483187,12.98320276813059,13.258331558369125,13.164925723239381,13.351737393498869
75,12.803835260392907,12.689940092257544,12.91773042852827,13.206406981657409,13.107290260229965,13.305523703084853
