lambda,rmse_loocv,gl_efectivos
0.01,0.5069561847807545,307.2628449679049
0.01778279410038923,0.5066619455015656,305.24700294252466
0.03162277660168379,0.5064042004781701,303.08157150739845
0.05623413251903491,0.5061970730265968,300.885572578826
0.1,0.50604766511634,298.7535754883521
0.1778279410038923,0.5059503445146171,296.74876705235545
0.31622776601683794,0.505894281747744,294.9135190491028
0.5623413251903491,0.5058689058500208,293.25968930181705
1.0,0.5058630124021765,291.7403054472098
1.7782794100389228,0.5058629807457155,290.23612276460995
3.1622776601683795,0.5058545200073816,288.57445572621964
5.623413251903491,0.5058239273442929,286.56379643318996
10.0,0.505759796000943,284.01285655088213
17.78279410038923,0.505660711994992,280.72210048789003
31.622776601683793,0.5055436621424482,276.46400619878887
56.23413251903491,0.5054429689825856,270.9674435096606
100.0,0.505400431418919,263.9065943569959
177.82794100389228,0.5054610634017409,254.89263915969232
316.22776601683796,0.5056891170359338,243.48298794492504
562.341325190349,0.5062060208966134,229.22735049103187
1000.0,0.5072401612336843,211.73580349425737
1778.2794100389228,0.5091739985089804,190.75623192217148
3162.2776601683795,0.5125988426540907,166.33307309073294
5623.413251903491,0.5184067856454502,139.1301264342076
10000.0,0.5279481233555195,110.74142317343568
