tramo,media,sd,ee,n,poblacion,n_efectivo,IC_inf,IC_sup
"(0, 12]",12.167274958922032,1.1791359570285465,0.05590395498703459,455,110810.73523951523,434.55106653521335,12.057703207147444,12.27684671069662
"(12, 20]",12.780514256958176,1.0488928557474446,0.049569822493040795,467,116604.05310434752,440.23678902005196,12.683357404871815,12.877671109044536
"(20, 30]",13.358208533622362,1.0194034001263286,0.03637194497138968,812,199729.86142277304,769.4002517754831,13.286919521478438,13.429497545766285
"(30, 40]",14.043717482973202,1.0090742110482993,0.022976324022323233,2115,524551.7554530235,2003.863346094544,13.998683887889449,14.088751078056955
"(40, 48]",14.01871655159548,0.6719385952125098,0.00840485581422547,6693,1659813.5140683507,6330.2363188697145,14.002243034199598,14.035190068991362
"(48, 60]",13.97849202462826,0.7830729359857749,0.016002847394469423,2537,643501.7618020094,2390.017672405364,13.9471264437351,14.00985760552142
"(60, 72]",13.892568283854539,0.6897199586375083,0.02168350687287956,1084,275912.1586943655,1021.4115768387097,13.850068610383694,13.935067957325384
"(72, 130]",13.912648719386473,0.7170773337492333,0.029333810818680264,601,155751.7158020826,566.0398475564627,13.85515445018186,13.970142988591085
