variable,tipo,filas,no_nulos,porcentaje_no_nulos,valores_distintos,media,desv_est,minimo,p25,mediana,p75,maximo,moda
p6590s1,float64,32177,10628,33.02980389719365,125,20690.031050056456,74327.18466223916,0.0,0.0,0.0,0.0,1000000.0,0.0
p6600,float64,32177,10628,33.02980389719365,3,1.9921904403462551,0.1534864440449853,1.0,2.0,2.0,2.0,9.0,2.0
p6600s1,float64,32177,10628,33.02980389719365,20,3330.3537824614227,81887.92103106793,0.0,0.0,0.0,0.0,6000000.0,0.0
p6610,float64,32177,10628,33.02980389719365,3,1.9735604064734664,0.20384246990699773,1.0,2.0,2.0,2.0,9.0,2.0
p6610s1,float64,32177,10628,33.02980389719365,62,4689.990779074144,54504.33759217884,0.0,0.0,0.0,0.0,3000000.0,0.0
p6620,float64,32177,10628,33.02980389719365,3,1.990308618742943,0.1751477854605062,1.0,2.0,2.0,2.0,9.0,2.0
p6620s1,float64,32177,10628,33.02980389719365,47,3411.977794505081,59995.27474667271,0.0,0.0,0.0,0.0,4500000.0,0.0
p6630s1,float64,32177,10628,33.02980389719365,2,1.3218855852465186,0.46722135540251875,1.0,1.0,1.0,2.0,2.0,1.0
p6630s1a1,float64,32177,10628,33.02980389719365,400,757514.7302408732,1515631.761784066,0.0,0.0,380000.0,900000.0,56000000.0,0.0
p6630s2,float64,32177,10628,33.02980389719365,2,1.943074896499812,0.23171035326976883,1.0,2.0,2.0,2.0,2.0,2.0
p6630s2a1,float64,32177,10628,33.02980389719365,98,99307.50639819345,766685.8835682563,0.0,0.0,0.0,0.0,36500000.0,0.0
p6630s3,float64,32177,10628,33.02980389719365,2,1.9455212645841173,0.22697059273509337,1.0,2.0,2.0,2.0,2.0,2.0
p6630s3a1,float64,32177,10628,33.02980389719365,78,52227.145747083174,827872.8376207683,0.0,0.0,0.0,0.0,77000000.0,0.0
p6630s4,float64,32177,10628,33.02980389719365,2,1.9624576590139255,0.19009553841200832,1.0,2.0,2.0,2.0,2.0,2.0
p6630s4a1,float64,32177,10628,33.02980389719365,89,116261.7613850207,2081632.2159738506,0.0,0.0,0.0,0.0,130000000.0,0.0
p6630s6,float64,32177,10628,33.02980389719365,2,1.996706812194204,0.05729442894475429,1.0,2.0,2.0,2.0,2.0,2.0
p6630s6a1,float64,32177,10628,33.02980389719365,19,1472.4548362815206,48974.60636074404,0.0,0.0,0.0,0.0,3125000.0,0.0
p6750,float64,32177,4904,15.240699878795413,234,1353902.3994698205,2464621.17083064,84.0,480000.0,800000.0,1500000.0,70000000.0,800000.0
p6760,float64,32177,5782,17.96935699412624,5,1.0140089934278795,0.3752103190486068,1.0,1.0,1.0,1.0,12.0,1.0
p550,float64,32177,0,0.0,0,,,,,,,,
