relab_f,media,sd,ee,n,poblacion,n_efectivo,IC_inf,IC_sup
Otro,12.488802249214757,0.8754131239354346,0.31013736377622014,9,2054.593421242529,8.77145748378108,11.880933016213366,13.096671482216149
Empleado domestico,13.244167162218389,0.7264143705888126,0.0318478826523625,563,139256.064062669,533.3381644029812,13.181745312219759,13.30658901221702
Cuenta propia,13.489859359071241,1.0314298241537376,0.015862735812061365,4391,1092990.2468053787,4171.94291899095,13.4587683968796,13.520950321262882
Obrero/empleado particular,14.016841486429302,0.7262130926354432,0.008051603747016833,8757,2192799.595352488,8246.36205518011,14.001060343085149,14.032622629773455
Patron/empleador,14.326075402262655,0.8945965863567754,0.042959678429577944,473,120489.6107901911,444.37378303991375,14.241874432540682,14.410276371984628
Empleado del gobierno,14.81361895095314,0.5910952878687084,0.025130838698951927,571,139085.4451544978,549.4059061365597,14.764362507103195,14.862875394803085
