muestra_ps3,n,alerta_ingreso_bajo,alerta_ingreso_alto,alerta_horas_altas,alerta_dane_extremo,alerta_extremo
entrenamiento,10263,185,48,155,12,383
validacion,4501,80,25,72,8,172
