variable,tipo,no_nulos,porcentaje_no_nulos,valores_distintos
y_salary_m,float64,9964,30.96621810610063,660
y_salary_m_hu,float64,9964,30.96621810610063,1390
y_ingLab_m,float64,9964,30.96621810610063,3700
y_horasExtras_m,float64,895,2.7814898840786895,91
y_especie_m,float64,1327,4.124063772259689,125
y_vivienda_m,float64,104,0.3232122323398701,20
y_otros_m,float64,131,0.40712310035118254,47
y_auxilioAliment_m,float64,407,1.2648786400223762,82
y_auxilioTransp_m,float64,5471,17.002828107032975,117
y_subFamiliar_m,float64,2301,7.151070640519626,139
y_subEducativo_m,float64,38,0.11809677720110638,26
y_primas_m,float64,95,0.29524194300276596,43
y_bonificaciones_m,float64,366,1.137458433042235,78
y_primaServicios_m,float64,7207,22.397986139167728,400
y_primaNavidad_m,float64,605,1.8802250054386676,98
y_primaVacaciones_m,float64,579,1.7994219473537,78
y_viaticos_m,float64,399,1.240016160611617,89
y_accidentes_m,float64,35,0.10877334742207168,19
y_salarySec_m,float64,461,1.4327003760450012,89
y_ingLab_m_ha,float64,9964,30.96621810610063,5049
y_gananciaNeta_m,float64,4904,15.240699878795413,237
y_gananciaNetaAgro_m,float64,0,0.0,0
y_gananciaIndep_m,float64,4904,15.240699878795413,237
y_gananciaIndep_m_hu,float64,4904,15.240699878795413,698
y_total_m,float64,14868,46.206917984896045,3772
y_total_m_ha,float64,14868,46.206917984896045,5441
chunk,int64,32177,100.0,10
url_origen,object,32177,100.0,10
muestra_ps3,object,32177,100.0,2
