relab_f,media,sd,ee,n,poblacion,n_efectivo,IC_inf,IC_sup
Empleado domestico,0.0264043426402273,0.16033450448972228,0.006851452306936467,578,143032.74979708515,547.8236124980183,0.012975496118631824,0.039833189161822775
Obrero/empleado particular,0.0611219013193842,0.23955378205840888,0.002517419393012183,9342,2335553.0376456543,8800.472752630256,0.05618775930908032,0.06605604332968808
Empleado del gobierno,0.09725977450039652,0.2963111721898595,0.012348909436763256,632,154070.28647418894,604.9890875708807,0.07305591200434054,0.1214636369964525
Otro,0.11716491052012197,0.32161668840862995,0.11507995647552621,10,2327.267510915308,9.748132667559284,-0.1083918041719094,0.3427216252121533
Cuenta propia,0.13765611321377583,0.3445386882610601,0.0048844210474016745,5106,1267464.4808798095,4859.532812084807,0.12808264796086855,0.1472295784666831
Patron/empleador,0.23265077467158934,0.42252146894128195,0.01700611515730014,626,157020.56744583778,590.4444297001754,0.19931878896328106,0.2659827603798976
Sin remuneracion,1.0,0.0,0.0,248,61114.27183400912,234.97280571991348,1.0,1.0
