variable,media,desv_est,minimo,p25,mediana,p75,maximo,moda
p7070,19070.224744744744,218026.7839616195,0.0,0.0,0.0,0.0,10000000.0,0.0
p7090,1.9028293969548016,0.2961988118388528,1.0,2.0,2.0,2.0,2.0,2.0
p7110,1.5225169648365207,0.49964686960970955,1.0,1.0,2.0,2.0,2.0,2.0
p7120,1.0610734114743985,0.23953882164810894,1.0,1.0,1.0,1.0,2.0,1.0
p7140s1,1.1197691197691197,0.3247382207823683,1.0,1.0,1.0,1.0,2.0,1.0
p7140s2,1.0216450216450217,0.14554252985145277,1.0,1.0,1.0,1.0,2.0,1.0
p7150,1.6193362193362193,0.48562014628058603,1.0,1.0,2.0,2.0,2.0,2.0
p7160,1.1875901875901875,0.7882044629557228,1.0,1.0,1.0,1.0,9.0,1.0
p7310,1.9048101265822786,0.2935513464589049,1.0,2.0,2.0,2.0,2.0,2.0
p7350,1.6961387800783436,1.329736428173372,1.0,1.0,1.0,1.0,9.0,1.0
p7422,1.8399552322327923,0.366750199837643,1.0,2.0,2.0,2.0,2.0,2.0
p7422s1,139407.38947957472,657323.6267106842,0.0,0.0,0.0,0.0,14000000.0,0.0
p7472,1.9838971269694161,0.12587853736628882,1.0,2.0,2.0,2.0,2.0,2.0
p7472s1,9034.172150139018,113430.26088268941,0.0,0.0,0.0,0.0,5000000.0,0.0
p7495,1.8584777749276264,0.3485658290167146,1.0,2.0,2.0,2.0,2.0,2.0
p7500s1,1.4917141377524599,0.514295723561633,1.0,1.0,1.0,2.0,9.0,1.0
p7500s1a1,63533.01671002968,405389.8198296994,0.0,0.0,0.0,0.0,20000000.0,0.0
p7500s2,1.4821336095287416,0.5140520148636343,1.0,1.0,1.0,2.0,9.0,1.0
p7500s2a1,103881.41602843636,768754.3981079629,0.0,0.0,0.0,0.0,80000000.0,0.0
p7500s3,1.9109269808389435,0.30929604903534164,1.0,2.0,2.0,2.0,9.0,2.0
