"particion","n","ingreso_mediana","ingreso_media","log_y_media","log_y_sd","edad_media","prop_mujeres","horas_media","prop_formal","prop_cuenta_propia","prop_terciaria","prop_alerta_extremo"
"total",14764,992744.6875,1617550.51747335,13.8683930837743,0.896430461951089,38.8881739366025,0.473381197507451,47.6048496342455,0.602411270658358,0.297412625304795,0.414143466775046,0.0373882416689244
"entrenamiento",10263,990929.4375,1592515.74693263,13.8635423804463,0.888168927748497,38.7960635291825,0.472766247685862,47.4820228003508,0.604014420734678,0.292799376400663,0.411478125304492,0.0371236480561239
"validacion",4501,996453,1674633.79897957,13.8794534633024,0.914992855146954,39.0982003999111,0.474783381470784,47.8849144634526,0.598755832037325,0.307931570762053,0.420222222222222,0.0379915574316818
